family,file_read,file_created,regkey_written,regkey_read,apistats,command_line,directory_enumerated,dll_loaded,tree_command_line,arguments,urls,proc_pid
G,0,0,0,0,0,0,0,0,0,0,3,11
G,0,0,0,0,0,218,0,0,0,5,11,15
G,0,0,0,0,0,0,0,0,0,0,5,5
G,0,0,0,0,0,1036,0,0,0,24,2,2
G,0,0,0,0,0,2112,0,0,0,50,7,6
G,0,0,0,0,0,0,0,0,0,0,3,4
G,0,0,0,0,0,0,0,0,0,0,5,2
G,0,0,0,0,0,0,0,0,0,0,8,14
G,0,0,0,0,0,0,0,0,0,0,15,11
G,0,0,0,0,0,0,0,0,0,0,4,11
G,0,0,0,0,0,0,0,0,0,0,0,11
G,0,0,0,0,0,48,0,0,0,1,10,14
G,0,0,0,0,0,2109,0,0,0,50,10,10
G,0,0,0,0,0,0,0,0,0,0,4,11
G,0,0,0,0,0,2110,0,0,0,50,1,13
G,0,0,0,0,0,119,0,0,0,1,6,1
G,0,0,0,0,0,0,0,0,0,0,23,10
G,0,0,0,0,0,1086,0,0,0,26,3,5
G,0,0,0,0,0,0,0,0,0,0,4,4
G,0,0,0,0,0,2191,0,0,0,51,4,11
G,0,0,0,0,0,0,0,0,0,0,5,0
G,0,0,0,0,0,0,0,0,0,0,6,0
G,0,0,0,0,0,0,0,0,0,0,6,2
G,0,0,0,0,0,2112,0,0,0,50,22,12
G,0,0,0,0,0,133,0,0,0,2,7,10
G,0,0,0,0,0,0,0,0,0,0,1,0
G,0,0,0,0,0,2113,0,0,0,50,4,2
G,0,0,0,0,0,99,0,0,0,1,1,1
G,0,0,0,0,0,1086,0,0,0,26,4,1
G,0,0,0,0,0,0,0,0,0,0,6,8
G,0,0,0,0,0,1036,0,0,0,24,21,10
G,0,0,0,0,0,0,0,0,0,0,9,6
G,0,0,0,0,0,1037,0,0,0,24,24,8
G,0,0,0,0,0,0,0,0,0,0,3,7
G,0,0,0,0,0,0,0,0,0,0,2,6
G,0,0,0,0,0,0,0,0,0,0,10,3
G,0,0,0,0,0,0,0,0,0,0,0,3
G,0,0,0,0,0,0,0,0,0,0,6,5
G,0,0,0,0,0,2113,0,0,0,50,6,9
G,0,0,0,0,0,0,0,0,0,0,21,8
G,7,0,0,0,0,81,0,0,0,1,39,7
G,0,0,0,0,0,48,0,0,0,1,4,8
G,0,0,0,0,0,119,0,0,0,1,3,8
G,0,0,0,0,0,0,0,0,0,0,8,3
G,0,0,0,0,0,0,0,0,0,0,1,9
G,0,0,0,0,0,0,0,0,0,0,4,0
G,0,0,0,0,0,81,0,0,0,1,13,3
G,0,0,0,0,0,162,0,0,0,2,0,9
G,0,0,0,0,0,0,0,0,0,0,28,1
G,0,0,0,0,0,0,0,0,0,0,7,1
G,0,0,0,0,0,0,0,0,0,0,12,0
G,0,0,0,0,0,0,0,0,0,0,5,4
G,0,0,0,0,0,397,0,0,0,9,3,1
G,0,0,0,0,0,0,0,0,0,0,5,0
G,0,0,0,0,0,0,0,0,0,0,9,7
G,0,0,0,0,0,0,0,0,0,0,4,5
G,0,0,0,0,0,48,0,0,0,1,8,7
G,0,0,0,0,0,0,0,0,0,0,32,8
G,0,0,0,0,0,0,0,0,0,0,3,2
G,0,0,0,0,0,0,0,0,0,0,4,0
G,0,0,0,0,0,0,0,0,0,0,9,8
G,0,0,0,0,0,0,0,0,0,0,0,1
G,0,0,0,0,0,129,0,0,0,2,43,9
G,0,0,0,0,0,0,0,0,0,0,2,1
G,0,0,0,0,0,0,0,0,0,0,30,7
G,0,0,0,0,0,0,0,0,0,0,1,2
G,0,0,0,0,0,0,0,0,0,0,9,0
G,0,0,0,0,0,0,0,0,0,0,4,5
G,0,0,0,0,0,0,0,0,0,0,4,4
G,0,0,0,0,0,0,0,0,0,0,1,0
G,0,0,0,0,0,0,0,0,0,0,4,0
G,0,0,0,0,0,0,0,0,0,0,8,6
G,0,0,0,0,0,0,0,0,0,0,24,7
G,0,0,0,0,0,0,0,0,0,0,5,0
G,0,0,0,0,0,0,0,0,0,0,6,0
G,0,0,0,0,0,0,0,0,0,0,1,1
G,0,0,0,0,0,0,0,0,0,0,7,1
G,0,0,0,0,0,0,0,0,0,0,9,1
G,0,0,0,0,0,0,0,0,0,0,3,2
G,0,0,0,0,0,0,0,0,0,0,26,6
G,0,0,0,0,0,170,0,0,0,2,11,4
G,0,0,0,0,0,0,0,0,0,0,6,0
G,0,0,0,0,0,0,0,0,0,0,6,1
G,0,0,0,0,0,0,0,0,0,0,3,0
G,0,0,0,0,0,0,0,0,0,0,31,1
G,0,0,0,0,0,0,0,0,0,0,4,0
G,0,0,0,0,0,0,0,0,0,0,4,0
G,0,0,0,0,0,0,0,0,0,0,1,0
G,0,0,0,0,0,0,0,0,0,0,3,0
G,0,0,0,0,0,0,0,0,0,0,10,6
G,0,0,0,0,0,119,0,0,0,1,1,2
G,0,0,0,0,0,0,0,0,0,0,20,3
G,0,0,0,0,0,0,0,0,0,0,5,3
G,0,0,0,0,0,0,0,0,0,0,1,1
G,0,0,0,0,0,0,0,0,0,0,6,7
G,0,0,0,0,0,0,0,0,0,0,0,2
G,0,0,0,0,0,0,0,0,0,0,5,1
G,0,0,0,0,0,0,0,0,0,0,5,1
G,0,0,0,0,0,0,0,0,0,0,9,9
G,0,0,0,0,0,0,0,0,0,0,25,6
G,0,0,0,0,0,0,0,0,0,0,7,1
G,0,0,0,0,0,0,0,0,0,0,9,6
G,0,0,0,0,0,0,0,0,0,0,2,0
G,0,0,0,0,0,0,0,0,0,0,8,1
G,0,0,0,0,0,0,0,0,0,0,9,1
G,0,0,0,0,0,0,0,0,0,0,3,0
G,0,0,0,0,0,0,0,0,0,0,23,3
G,0,0,0,0,0,0,0,0,0,0,3,1
G,0,0,0,0,0,0,0,0,0,0,1,0
G,0,0,0,0,0,0,0,0,0,0,4,0
G,0,0,0,0,0,0,0,0,0,0,1,0
G,0,0,0,0,0,0,0,0,0,0,4,0
G,0,0,0,0,0,0,0,0,0,0,6,1
G,0,0,0,0,0,0,0,0,0,0,1,7
G,0,0,0,0,0,0,0,0,0,0,11,0
G,0,0,0,0,0,0,0,0,0,0,12,4
G,0,0,0,0,0,133,0,0,0,2,5,7
G,0,0,0,0,0,0,0,0,0,0,2,0
G,0,0,0,0,0,100,0,0,0,3,23,7
G,0,0,0,0,0,0,0,0,0,0,1,0
G,0,0,0,0,0,0,0,0,0,0,4,0
G,0,0,0,0,0,147,0,0,0,2,13,4
G,0,0,0,0,0,129,0,0,0,2,24,8
G,0,0,0,0,0,0,0,0,0,0,11,7
G,0,0,0,0,0,0,0,0,0,0,5,7
G,0,0,0,0,0,0,0,0,0,0,7,4
G,0,0,0,0,0,0,0,0,0,0,4,0
G,0,0,0,0,0,0,0,0,0,0,6,8
G,5,0,0,0,0,0,0,0,0,0,39,4
G,0,0,0,0,0,119,0,0,0,1,11,6
G,0,0,0,0,0,0,0,0,0,0,6,0
G,0,0,0,0,0,0,0,0,0,0,2,0
G,0,0,0,0,0,0,0,0,0,0,3,0
G,0,0,0,0,0,0,0,0,0,0,10,6
G,0,0,0,0,0,0,0,0,0,0,19,6
G,0,0,0,0,0,0,0,0,0,0,4,2
G,0,0,0,0,0,0,0,0,0,0,1,3
G,0,0,0,0,0,48,0,0,0,1,6,2
G,0,0,0,0,0,99,0,0,0,1,1,2
G,0,0,0,0,0,0,0,0,0,0,6,2
G,0,0,0,0,0,0,0,0,0,0,1,6
